scaf	base	count
NC_042285.1	130000	1
NC_042285.1	300000	1
NC_042285.1	450000	1
NC_042285.1	460000	1
NC_042285.1	520000	1
NC_042285.1	570000	1
NC_042285.1	970000	1
NC_042285.1	990000	2
NC_042285.1	1020000	1
NC_042285.1	1040000	1
NC_042285.1	1050000	1
NC_042285.1	1100000	1
NC_042285.1	1230000	2
NC_042285.1	1270000	1
NC_042285.1	1280000	1
NC_042285.1	1310000	1
NC_042285.1	1320000	2
NC_042285.1	1350000	2
NC_042285.1	1370000	2
NC_042285.1	1380000	1
NC_042285.1	1420000	1
NC_042285.1	1430000	1
NC_042285.1	1450000	1
NC_042285.1	1460000	1
NC_042285.1	1480000	1
NC_042285.1	1490000	1
NC_042285.1	1510000	1
NC_042285.1	1530000	1
NC_042285.1	1560000	1
NC_042285.1	1570000	1
NC_042285.1	1590000	1
NC_042285.1	1600000	2
NC_042285.1	1610000	3
NC_042285.1	1650000	2
NC_042285.1	1660000	3
NC_042285.1	1690000	1
NC_042285.1	1700000	1
NC_042285.1	1710000	2
NC_042285.1	1720000	1
NC_042285.1	1740000	1
NC_042285.1	1790000	2
NC_042285.1	1830000	1
NC_042285.1	1840000	2
NC_042285.1	1850000	1
NC_042285.1	1860000	3
NC_042285.1	1870000	4
NC_042285.1	1880000	1
NC_042285.1	1960000	2
NC_042285.1	2000000	2
NC_042285.1	2030000	1
NC_042285.1	2060000	2
NC_042285.1	2070000	1
NC_042285.1	2080000	1
NC_042285.1	2100000	4
NC_042285.1	2120000	1
NC_042285.1	2170000	2
NC_042285.1	2180000	1
NC_042285.1	2200000	1
NC_042285.1	2210000	4
NC_042285.1	2220000	2
NC_042285.1	2230000	1
NC_042285.1	2240000	1
NC_042285.1	2250000	1
NC_042285.1	2280000	1
NC_042285.1	2290000	1
NC_042285.1	2320000	1
NC_042285.1	2390000	1
NC_042285.1	2400000	1
NC_042285.1	2410000	8
NC_042285.1	2420000	4
NC_042285.1	2450000	2
NC_042285.1	2460000	1
NC_042285.1	2490000	1
NC_042285.1	2500000	3
NC_042285.1	2520000	1
NC_042285.1	2540000	4
NC_042285.1	2560000	1
NC_042285.1	2580000	1
NC_042285.1	2600000	3
NC_042285.1	2610000	3
NC_042285.1	2620000	2
NC_042285.1	2640000	2
NC_042285.1	2660000	1
NC_042285.1	2670000	1
NC_042285.1	2680000	2
NC_042285.1	2700000	1
NC_042285.1	2710000	1
NC_042285.1	2720000	1
NC_042285.1	2750000	3
NC_042285.1	2760000	1
NC_042285.1	2770000	4
NC_042285.1	2780000	1
NC_042285.1	2810000	1
NC_042285.1	2850000	1
NC_042285.1	2880000	1
NC_042285.1	2970000	1
NC_042285.1	3030000	4
NC_042285.1	3050000	1
NC_042285.1	3070000	2
NC_042285.1	3150000	1
NC_042285.1	3180000	2
NC_042285.1	3190000	1
NC_042285.1	3210000	4
NC_042285.1	3220000	1
NC_042285.1	3230000	3
NC_042285.1	3240000	4
NC_042285.1	3270000	2
NC_042285.1	3280000	1
NC_042285.1	3290000	3
NC_042285.1	3320000	1
NC_042285.1	3350000	1
