scaf	base	count
NC_042285.1	20000	1
NC_042285.1	180000	1
NC_042285.1	290000	1
NC_042285.1	300000	1
NC_042285.1	310000	2
NC_042285.1	320000	1
NC_042285.1	330000	1
NC_042285.1	450000	1
NC_042285.1	460000	1
NC_042285.1	480000	1
NC_042285.1	520000	2
NC_042285.1	530000	1
NC_042285.1	540000	2
NC_042285.1	560000	1
NC_042285.1	570000	1
NC_042285.1	580000	1
NC_042285.1	800000	2
NC_042285.1	860000	1
NC_042285.1	970000	1
NC_042285.1	990000	4
NC_042285.1	1020000	1
NC_042285.1	1030000	1
NC_042285.1	1090000	1
NC_042285.1	1100000	1
NC_042285.1	1230000	2
NC_042285.1	1270000	1
NC_042285.1	1280000	1
NC_042285.1	1310000	2
NC_042285.1	1320000	4
NC_042285.1	1340000	1
NC_042285.1	1350000	1
NC_042285.1	1370000	4
NC_042285.1	1380000	1
NC_042285.1	1400000	2
NC_042285.1	1410000	1
NC_042285.1	1430000	2
NC_042285.1	1440000	1
NC_042285.1	1450000	4
NC_042285.1	1460000	3
NC_042285.1	1480000	1
NC_042285.1	1490000	1
NC_042285.1	1500000	1
NC_042285.1	1510000	1
NC_042285.1	1530000	1
NC_042285.1	1540000	2
NC_042285.1	1570000	2
NC_042285.1	1590000	2
NC_042285.1	1600000	1
NC_042285.1	1610000	2
NC_042285.1	1620000	2
NC_042285.1	1640000	1
NC_042285.1	1660000	3
NC_042285.1	1670000	1
NC_042285.1	1680000	1
NC_042285.1	1690000	2
NC_042285.1	1700000	1
NC_042285.1	1710000	2
NC_042285.1	1730000	1
NC_042285.1	1740000	1
NC_042285.1	1750000	1
NC_042285.1	1760000	1
NC_042285.1	1790000	3
NC_042285.1	1800000	2
NC_042285.1	1810000	1
NC_042285.1	1820000	1
NC_042285.1	1830000	1
NC_042285.1	1840000	3
NC_042285.1	1850000	3
NC_042285.1	1860000	2
NC_042285.1	1870000	2
NC_042285.1	1880000	2
NC_042285.1	1960000	3
NC_042285.1	1970000	3
NC_042285.1	1980000	1
NC_042285.1	1990000	1
NC_042285.1	2000000	3
NC_042285.1	2030000	2
NC_042285.1	2060000	3
NC_042285.1	2070000	3
NC_042285.1	2080000	2
NC_042285.1	2090000	2
NC_042285.1	2100000	2
NC_042285.1	2110000	1
NC_042285.1	2120000	1
NC_042285.1	2140000	2
NC_042285.1	2170000	2
NC_042285.1	2180000	1
NC_042285.1	2200000	2
NC_042285.1	2210000	5
NC_042285.1	2220000	3
NC_042285.1	2230000	2
NC_042285.1	2240000	2
NC_042285.1	2250000	1
NC_042285.1	2290000	1
NC_042285.1	2320000	2
NC_042285.1	2390000	3
NC_042285.1	2400000	2
NC_042285.1	2410000	8
NC_042285.1	2420000	3
NC_042285.1	2430000	1
NC_042285.1	2450000	3
NC_042285.1	2460000	2
NC_042285.1	2470000	2
NC_042285.1	2480000	3
NC_042285.1	2490000	2
NC_042285.1	2500000	3
NC_042285.1	2510000	1
NC_042285.1	2520000	1
NC_042285.1	2530000	1
NC_042285.1	2540000	5
NC_042285.1	2550000	2
NC_042285.1	2560000	3
NC_042285.1	2570000	1
NC_042285.1	2580000	1
NC_042285.1	2600000	3
NC_042285.1	2610000	2
NC_042285.1	2620000	2
NC_042285.1	2630000	1
NC_042285.1	2640000	2
NC_042285.1	2650000	1
NC_042285.1	2660000	2
NC_042285.1	2680000	4
NC_042285.1	2700000	1
NC_042285.1	2710000	6
NC_042285.1	2740000	1
NC_042285.1	2750000	5
NC_042285.1	2760000	3
NC_042285.1	2770000	6
NC_042285.1	2780000	2
NC_042285.1	2810000	1
NC_042285.1	2840000	2
NC_042285.1	2860000	2
NC_042285.1	2880000	2
NC_042285.1	2900000	3
NC_042285.1	2910000	1
NC_042285.1	2930000	1
NC_042285.1	2970000	1
NC_042285.1	3020000	4
NC_042285.1	3030000	4
NC_042285.1	3040000	1
NC_042285.1	3050000	3
NC_042285.1	3070000	7
NC_042285.1	3100000	2
NC_042285.1	3130000	2
NC_042285.1	3140000	2
NC_042285.1	3150000	1
NC_042285.1	3170000	1
NC_042285.1	3180000	3
NC_042285.1	3190000	1
NC_042285.1	3210000	5
NC_042285.1	3220000	1
NC_042285.1	3230000	3
NC_042285.1	3240000	5
NC_042285.1	3260000	1
NC_042285.1	3270000	3
NC_042285.1	3290000	2
NC_042285.1	3300000	3
NC_042285.1	3320000	2
NC_042285.1	3330000	1
NC_042285.1	3350000	1
NC_042285.1	3370000	1
NC_042285.1	3390000	1
NC_042285.1	3400000	4
NC_042285.1	3420000	1
NC_042285.1	3440000	1
NC_042285.1	3450000	1
NC_042285.1	3460000	2
NC_042285.1	3480000	1
NC_042285.1	3490000	2
NC_042285.1	3520000	4
NC_042285.1	3530000	3
NC_042285.1	3560000	2
NC_042285.1	3570000	2
NC_042285.1	3580000	1
NC_042285.1	3600000	1
NC_042285.1	3670000	4
NC_042285.1	3680000	1
NC_042285.1	3690000	1
NC_042285.1	3710000	7
NC_042285.1	3720000	1
NC_042285.1	3730000	3
NC_042285.1	3740000	4
NC_042285.1	3750000	7
NC_042285.1	3760000	5
NC_042285.1	3770000	4
NC_042285.1	3780000	7
NC_042285.1	3790000	3
NC_042285.1	3800000	10
NC_042285.1	3810000	5
NC_042285.1	3820000	6
NC_042285.1	3830000	4
NC_042285.1	3840000	2
NC_042285.1	3860000	2
NC_042285.1	3890000	1
NC_042285.1	3900000	1
NC_042285.1	3910000	1
NC_042285.1	3940000	1
NC_042285.1	3960000	1
NC_042285.1	3970000	1
NC_042285.1	4010000	2
NC_042285.1	4030000	1
NC_042285.1	4040000	1
NC_042285.1	4050000	1
NC_042285.1	4060000	1
NC_042285.1	4100000	2
NC_042285.1	4120000	2
NC_042285.1	4130000	2
NC_042285.1	4150000	1
NC_042285.1	4160000	1
NC_042285.1	4180000	1
NC_042285.1	4210000	2
NC_042285.1	4220000	2
NC_042285.1	4230000	3
NC_042285.1	4240000	1
NC_042285.1	4250000	2
NC_042285.1	4290000	1
NC_042285.1	4300000	1
NC_042285.1	4350000	1
NC_042285.1	4380000	1
NC_042285.1	4440000	2
NC_042285.1	4450000	1
NC_042285.1	4460000	1
NC_042285.1	4470000	1
NC_042285.1	4480000	1
NC_042285.1	4490000	2
NC_042285.1	4500000	5
